Timestamp,¿Cuál es tu género?,¿En qué rango de edad te encuentras?,¿Tienes licencia de conducir vigente?,¿Realizaste algún examen o curso para obtener tu licencia de manejo?,"Aproximadamente, ¿Cuánto tiempo pasas manejando a la semana dentro de la CDMX?",¿Cuánto tiempo llevas manejando dentro de la Ciudad de México?,"Cuando tienes una pregunta relacionada con el tránsito de la Ciudad de México, ¿En dónde buscas información?","Si existiera un chatbot sencillo y rápido que responda preguntas de tránsito, ¿Con qué frecuencia lo llegarías a usar?",Escribe una pregunta relacionada al tránsito que no sepas como responder. (Ejemplo. ¿Cuál es el grado máximo de alcohol con el que puedo manejar?),Escribe otra pregunta relacionada al tránsito que no sepas como responder.,"¿Te interesaría un chatbot que respondiera preguntas no solo relacionadas con el tránsito, sino con todo el sistema legal mexicano?"
2/10/2024 16:57:56,Femenino,20-30,No,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Puedo meter un amparo si me para el alcoholímetro? ,Cuando no circulo? ,Sí
2/10/2024 17:02:03,Masculino,+ de 60,Sí,No,Entre 10 y 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Me pueden cancelar la licencia de conducir permanente ? ,Que se hace en el servicio comunitario? ,No creo utilizarla
2/10/2024 17:03:47,Femenino,+ de 60,No,No,Entre 5 y 10 horas a la semana,Más de 15 años,Le pregunto a alguien que sepa la infromación,Una vez al mes,A los cuantos puntos menos tengo que hacer servicio conunitario? ,Me quitan puntos cuando manejo un coche que nos mío y me sancionan? ,No creo utilizarla
2/10/2024 17:09:56,Femenino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,Le pregunto a alguien que sepa la infromación,Una vez al día,¿Si se llevan el coche al corralón como lo saco? ,¿Si se llevan el coche al corralón como lo saco? ,Sí
2/10/2024 17:11:59,Masculino,30-40,Sí,No,Entre 10 y 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Cuál es la ruta más rápida para llegar a…? ,Cuál es la ubicación en tiempo real de los alcoholímetros?,No
2/10/2024 17:15:55,Femenino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Le pregunto a alguien que sepa la infromación,No creo utilizarla de forma frecuente,Se pueden llevar mi coche al corralón si cometo una infección?,Se pueden llevar mi coche al corralón si cometo una infección?,Sí
2/10/2024 17:17:23,Femenino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Menos de 1 año,Google,Una vez a la semana,Si manejo con música alta pueden detenerme? ,Pueden revisar mi auto si una orden? ,Sí
2/10/2024 17:22:20,Femenino,16-20,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al mes,¿Se pueden llevar mi coche a cualquier corralón o tiene que ser el más cercano de donde me lo quitaron?,¿Qué pasa si me chocan y la otra persona huye?,Sí
2/10/2024 17:26:27,Masculino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez al mes,Puedo manejar bajo la influencia de analgesicos potentes?,"Si los coches viajan en carriles y los trenes en vías, por que los coches se desvían y los trenes se descarrilan?",Sí
2/10/2024 17:29:44,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Más de una vez al día,¿Cuál es el grado máximo de alcohol con el que puedo manejar?,¿Después de qué hora las mujeres pueden pasarse los altos?,Sí
